15:19:38  CPU mode
15:19:38  ============================================================
15:19:38  AVE FULL PIPELINE
15:19:38  ============================================================
15:19:38  
15:19:38  ────────────────────────────────────────────────────────────
15:19:38  STAGE 1 — FEATURE EXTRACTION
15:19:38  ────────────────────────────────────────────────────────────
15:19:38  Unique videos   : 4097
15:19:38  Already done    : 0
15:19:38  To extract      : 4097
15:19:38  Loading VGGish ...
15:20:53  VGGish ready.
15:20:53  Loading R(2+1)D-18 ...
15:21:31  R(2+1)D ready.
15:21:38    [   1/4097] c---zaDCTaE  7.5s  ETA 509 min
16:04:43    [1022/4097] 083JHGTpL2U  1.4s  ETA 130 min
16:04:45    [1023/4097] -JGD51XS0fE  2.0s  ETA 130 min
16:04:51    [1024/4097] 090RykWGyM8  5.1s  ETA 130 min
16:04:55    [1025/4097] -Ro3d3r00FA  4.8s  ETA 130 min
16:04:57    [1026/4097] -Q1CUEeVi6E  2.0s  ETA 130 min
16:05:00    [1027/4097] -X9bMbQzn7E  2.3s  ETA 130 min
16:05:02    [1028/4097] 09y9Cjo8qBQ  2.0s  ETA 130 min
16:05:04    [1029/4097] -6Cd_Prg5Uw  2.7s  ETA 130 min
16:05:06    [1030/4097] -n0Ely4TkHc  1.8s  ETA 130 min
16:05:10    [1031/4097] 0R4ILgLLd_o  3.5s  ETA 130 min
16:05:11    [1032/4097] 0X0qLl0qk5k  1.5s  ETA 130 min
16:05:14    [1033/4097] -RHnV8SgISI  2.5s  ETA 130 min
16:05:15    [1034/4097] 0ENppvcY0Yg  1.7s  ETA 130 min
16:05:17    [1035/4097] -i5p-3d7kFs  1.8s  ETA 129 min
16:05:22    [1036/4097] -Qeg1Ni9zJs  4.5s  ETA 130 min
16:05:26    [1037/4097] -EKC_s8NSwM  4.9s  ETA 130 min
16:05:30    [1038/4097] 0XGuKUbGgdk  3.8s  ETA 130 min
16:05:34    [1039/4097] -E9YQ_Uhu50  3.9s  ETA 130 min
16:05:36    [1040/4097] 0L0hWqQ4mUw  2.3s  ETA 130 min
16:05:39    [1041/4097] -2Z4tIHnFOY  2.2s  ETA 130 min
16:05:44    [1042/4097] -1idZtsYyTc  4.9s  ETA 130 min
16:05:49    [1043/4097] 0N4aDYt8vmI  5.0s  ETA 130 min
16:05:50    [1044/4097] -fKtsaoyzlQ  1.8s  ETA 130 min
16:05:52    [1045/4097] -Wryg7wUWdo  1.7s  ETA 130 min
16:05:55    [1046/4097] -uzmhZ24gHM  2.6s  ETA 129 min
16:05:56    [1047/4097] -xtiBEc4RUc  1.7s  ETA 129 min
16:05:59    [1048/4097] -hgcF6fF9BU  2.4s  ETA 129 min
16:06:00    [1049/4097] -6s1gTC8840  1.4s  ETA 129 min
16:06:03    [1050/4097] -d_sRt95HmY  2.6s  ETA 129 min
16:06:07    [1051/4097] -huGQE06qqM  4.1s  ETA 129 min
16:06:10    [1052/4097] 0M16447BSZI  3.4s  ETA 129 min
16:06:13    [1053/4097] 004KfU7bgyg  2.4s  ETA 129 min
16:06:15    [1054/4097] -ezSL_ZuEg0  2.2s  ETA 129 min
16:06:17    [1055/4097] -XJ1i40XSIw  1.9s  ETA 129 min
16:06:21    [1056/4097] -VV4ZirEsAc  4.0s  ETA 129 min
16:06:26    [1057/4097] -uF5lFI4yns  5.2s  ETA 129 min
16:06:28    [1058/4097] -3GWOM3I5LA  2.0s  ETA 129 min
16:06:30    [1059/4097] -GJvu5hr6w4  2.2s  ETA 129 min
16:06:32    [1060/4097] 0JIcv-DFwYM  2.0s  ETA 129 min
16:06:34    [1061/4097] 0FYLEr64xxU  1.8s  ETA 129 min
16:06:39    [1062/4097] -3yHOCvKOaQ  5.2s  ETA 129 min
16:06:41    [1063/4097] 08EE7Zv2Gf4  1.8s  ETA 129 min
16:06:42    [1064/4097] -sTWUmy-25w  1.2s  ETA 129 min
16:06:44    [1065/4097] 0IAWblvBM7k  1.8s  ETA 129 min
16:06:47    [1066/4097] 05RY2-9-hXU  2.4s  ETA 129 min
16:06:48    [1067/4097] 0X0DtfCcjEk  1.5s  ETA 129 min
16:06:50    [1068/4097] -Ggoa1lqzRg  2.3s  ETA 129 min
16:06:52    [1069/4097] -fqWzXRXP7M  1.9s  ETA 128 min
16:06:54    [1070/4097] 0KKDRvBdWsE  2.0s  ETA 128 min
16:06:56    [1071/4097] -ZQw6V4dT1o  1.7s  ETA 128 min
16:07:00    [1072/4097] 0YJrISi-lTo  4.3s  ETA 128 min
16:07:02    [1073/4097] -nUmTcz7dgQ  2.2s  ETA 128 min
16:07:07    [1074/4097] -rdwJtcERb4  4.6s  ETA 128 min
16:07:12    [1075/4097] -61v0b2F21A  4.6s  ETA 128 min
16:07:16    [1076/4097] 0UNYovC8n9g  4.8s  ETA 128 min
16:07:18    [1077/4097] 04eh7k5xv9A  1.7s  ETA 128 min
16:07:26    [1078/4097] -ntErCvN1ss  7.6s  ETA 129 min
16:07:29    [1079/4097] -SQKVtCSRjE  3.1s  ETA 129 min
16:07:33    [1080/4097] 0Fk7a-aiZdM  4.3s  ETA 129 min
16:07:35    [1081/4097] -TpU0J8vOlk  1.9s  ETA 129 min
16:07:37    [1082/4097] 04x1a3i5gjs  1.8s  ETA 128 min
16:07:39    [1083/4097] -2ijQCslgj0  1.8s  ETA 128 min
16:07:41    [1084/4097] 0OSl2IZashI  2.2s  ETA 128 min
16:07:43    [1085/4097] 00srV0nyZtg  2.3s  ETA 128 min
16:07:48    [1086/4097] -VPnsBcOq7U  5.3s  ETA 128 min
16:07:51    [1087/4097] 0AIodkLmuII  3.0s  ETA 128 min
16:07:57    [1088/4097] -1I7Ku2GAZo  5.8s  ETA 128 min
16:07:59    [1089/4097] 07UuUflaslA  1.7s  ETA 128 min
16:08:01    [1090/4097] 0KtFutA2J1M  2.3s  ETA 128 min
16:08:06    [1091/4097] -9_5_2i4igQ  4.6s  ETA 128 min
16:08:10    [1092/4097] -RRCnBd5Qak  4.3s  ETA 128 min
16:08:14    [1093/4097] 0JNcQYK8a94  4.2s  ETA 128 min
16:08:17    [1094/4097] 0TWd6DwQRoQ  2.6s  ETA 128 min
16:08:18    [1095/4097] --iY3Bf4hDg  1.5s  ETA 128 min
16:08:20    [1096/4097] -SL61Q4vRLg  1.9s  ETA 128 min
16:08:22    [1097/4097] -rdzFTStoNw  2.0s  ETA 128 min
16:08:27    [1098/4097] -l8Ks3BawL4  5.0s  ETA 128 min
16:08:29    [1099/4097] -EfnqyyqHuI  1.6s  ETA 128 min
16:08:30    [1100/4097] -AbnGnFITGM  1.3s  ETA 128 min
16:08:33    [1101/4097] -YGR7c_L3wQ  2.3s  ETA 128 min
16:08:36    [1102/4097] -BynDAgP_zc  3.7s  ETA 128 min
16:08:38    [1103/4097] -SmX8cI9ZCE  2.0s  ETA 128 min
16:08:40    [1104/4097] 0CzNTEBCTds  2.3s  ETA 128 min
16:08:42    [1105/4097] -24v8ZteFC8  1.9s  ETA 128 min
16:08:44    [1106/4097] -lLcUaZt6Vk  1.5s  ETA 128 min
16:08:46    [1107/4097] -VyEfhE452s  2.5s  ETA 128 min
16:08:49    [1108/4097] 0PEMtgW6_mI  2.3s  ETA 128 min
16:08:52    [1109/4097] -DnjK1sLR2M  3.0s  ETA 128 min
16:08:54    [1110/4097] -NCD5jfkapA  2.2s  ETA 128 min
16:08:58    [1111/4097] -d8Q6gOeHws  3.8s  ETA 128 min
16:09:00    [1112/4097] 026BvXYsIqM  2.8s  ETA 127 min
16:09:03    [1113/4097] -lzqscBFCxA  2.5s  ETA 127 min
16:09:04    [1114/4097] -odIm2rNR5M  1.4s  ETA 127 min
16:09:07    [1115/4097] -gFVa6dwSJg  2.2s  ETA 127 min
16:09:08    [1116/4097] -wcwrkUJwhM  1.8s  ETA 127 min
16:09:10    [1117/4097] -xZwU-M8vsY  1.9s  ETA 127 min
16:09:15    [1118/4097] -3GFNPmr0_M  4.4s  ETA 127 min
16:09:17    [1119/4097] 0WNy38Xx3kc  2.0s  ETA 127 min
16:09:19    [1120/4097] 0ONazqtTC-4  1.9s  ETA 127 min
16:09:21    [1121/4097] -iWQIRy_CWw  2.5s  ETA 127 min
16:09:23    [1122/4097] -7tDh-UQR7Q  2.3s  ETA 127 min
16:09:25    [1123/4097] 0B_OLBFyHnk  1.8s  ETA 127 min
16:09:31    [1124/4097] -lyAiroSiIs  5.9s  ETA 127 min
16:09:33    [1125/4097] -t25VKop7dg  2.0s  ETA 127 min
16:09:38    [1126/4097] -XQuhhINNSM  5.1s  ETA 127 min
16:09:40    [1127/4097] -nllZ47l4uY  1.9s  ETA 127 min
16:09:44    [1128/4097] -IsuouQLfPI  4.0s  ETA 127 min
16:09:46    [1129/4097] -G9X4ZlzHTQ  1.6s  ETA 127 min
16:09:49    [1130/4097] 0EwidalEnG0  2.9s  ETA 127 min
16:09:51    [1131/4097] -utUG50WGeY  2.3s  ETA 127 min
16:09:57    [1132/4097] 0U0uwSntM14  6.1s  ETA 127 min
16:09:58    [1133/4097] -J1udlCxfrk  1.2s  ETA 127 min
16:10:01    [1134/4097] -280mIOJVUg  2.5s  ETA 127 min
16:10:03    [1135/4097] 0Yzy64YAza4  2.3s  ETA 127 min
16:10:06    [1136/4097] -wDLKvx44fA  2.5s  ETA 127 min
16:10:10    [1137/4097] 0Og8Oj2RaZw  4.4s  ETA 127 min
16:10:11    [1138/4097] 0-iMdncudHA  1.3s  ETA 127 min
16:10:13    [1139/4097] -hcOpvKXsMI  2.0s  ETA 126 min
16:10:18    [1140/4097] 01eaWG7hqG4  5.0s  ETA 127 min
16:10:20    [1141/4097] -QotwZFNJ9Q  2.1s  ETA 126 min
16:10:24    [1142/4097] 0ZfizHq_2g8  3.3s  ETA 126 min
16:10:27    [1143/4097] -e96lkRatLc  3.7s  ETA 126 min
16:10:31    [1144/4097] 0ba56xUvipg  3.5s  ETA 126 min
16:10:32    [1145/4097] 0IbQ16JuAtM  1.6s  ETA 126 min
16:10:34    [1146/4097] -fnxKmxDa9s  1.5s  ETA 126 min
16:10:39    [1147/4097] 02BhKBRW_b4  4.8s  ETA 126 min
16:10:41    [1148/4097] 0Zlz-cu42QA  2.0s  ETA 126 min
16:10:45    [1149/4097] -hxJwo4l_fM  4.8s  ETA 126 min
16:10:48    [1150/4097] 0XMWF5n00ss  2.6s  ETA 126 min
16:10:49    [1151/4097] 08iMXjx3IVI  1.5s  ETA 126 min
16:10:55    [1152/4097] -_JY_gVLNNQ  5.7s  ETA 126 min
16:10:59    [1153/4097] -g0SzbEqZMI  3.8s  ETA 126 min
16:11:00    [1154/4097] -enC8sDhRiE  1.3s  ETA 126 min
16:11:05    [1155/4097] -AH16AxvfOk  4.8s  ETA 126 min
16:11:08    [1156/4097] 07PXcxt0VSQ  2.6s  ETA 126 min
16:11:13    [1157/4097] 0-_8Cj1TtIo  5.3s  ETA 126 min
16:11:15    [1158/4097] -yPVxHKyqZM  1.7s  ETA 126 min
16:11:16    [1159/4097] 0ShszGF-93I  1.6s  ETA 126 min
16:11:18    [1160/4097] 0I9fe2phsiE  1.7s  ETA 126 min
16:11:20    [1161/4097] 0ODqviTw47E  2.4s  ETA 126 min
16:11:24    [1162/4097] 22DapbNwnUY  3.7s  ETA 126 min
16:11:29    [1163/4097] -E1Vroh3yh0  4.3s  ETA 126 min
16:11:30    [1164/4097] 2EjcbMVMaz4  2.0s  ETA 126 min
16:11:32    [1165/4097] -O6JZg_THsc  1.5s  ETA 126 min
16:11:34    [1166/4097] -xIQ2G2zWfc  1.7s  ETA 126 min
16:11:35    [1167/4097] -sfV2dSHbiU  1.2s  ETA 126 min
16:11:42    [1168/4097] 1Uy5_ZcBqXY  7.2s  ETA 126 min
16:11:44    [1169/4097] 2Bm3Zpeo2JY  1.7s  ETA 126 min
16:11:45    [1170/4097] 1vFdPpeld54  1.6s  ETA 126 min
16:11:47    [1171/4097] -Mw6aR_FTk0  1.6s  ETA 126 min
16:11:49    [1172/4097] -BTusKdsjjA  1.7s  ETA 126 min
16:11:50    [1173/4097] 0QHxl_qa77U  1.5s  ETA 125 min
16:11:51    [1174/4097] 0WKZxrxHxl0  1.0s  ETA 125 min
16:11:52    [1175/4097] 1rCcmrAW9ns  1.0s  ETA 125 min
16:11:56    [1176/4097] 19c36lShGlo  4.3s  ETA 125 min
16:11:58    [1177/4097] -PP5Hx17amY  1.5s  ETA 125 min
16:12:00    [1178/4097] 18_CQWcNHr0  1.8s  ETA 125 min
16:12:01    [1179/4097] 2KIy7kcFs60  1.1s  ETA 125 min
16:12:02    [1180/4097] 1zMxPsTPu9k  1.7s  ETA 125 min
16:12:04    [1181/4097] 1X-GaM6yDjw  1.1s  ETA 125 min
16:12:05    [1182/4097] 0fB1C972a9s  1.9s  ETA 125 min
16:12:10    [1183/4097] -zTASP2V65Y  4.2s  ETA 125 min
16:12:13    [1184/4097] 0RIc6mwDRaQ  3.2s  ETA 125 min
16:12:17    [1185/4097] -ub8zdZ6YS8  4.7s  ETA 125 min
16:12:20    [1186/4097] 0VAnPig3WLE  2.4s  ETA 125 min
16:12:21    [1187/4097] 02uvuZ2KlJA  1.4s  ETA 125 min
16:12:23    [1188/4097] -rZxQqq2YpU  2.2s  ETA 125 min
16:12:26    [1189/4097] 0DyF9qIWY6s  2.7s  ETA 125 min
16:12:28    [1190/4097] 2BjUyKgD-8w  1.8s  ETA 124 min
16:12:30    [1191/4097] -faXMDW9jUw  2.1s  ETA 124 min
16:12:32    [1192/4097] 1mhn6Do2W2o  2.0s  ETA 124 min
16:12:37    [1193/4097] -mHbsc2gctI  4.9s  ETA 124 min
16:12:39    [1194/4097] 1_BLcC4Mr1E  1.8s  ETA 124 min
16:12:40    [1195/4097] 0Joj06p-hNk  1.5s  ETA 124 min
16:12:42    [1196/4097] -3c95C5K-Rs  1.6s  ETA 124 min
16:12:47    [1197/4097] -Fk62y-1WHo  5.1s  ETA 124 min
16:12:53    [1198/4097] 0KmQB2IFeh8  5.8s  ETA 124 min
16:12:55    [1199/4097] 0RHYjEmz14Q  1.8s  ETA 124 min
16:12:56    [1200/4097] -O2NYN9A5I0  1.0s  ETA 124 min
16:12:57    [1201/4097] 02IujCknWXY  1.9s  ETA 124 min
16:13:00    [1202/4097] -XrLFOaZxa0  2.3s  ETA 124 min
16:13:02    [1203/4097] -VMucqAakNE  1.9s  ETA 124 min
16:13:03    [1204/4097] 0B89rImrFoc  1.7s  ETA 124 min
16:13:08    [1205/4097] -YmTTXFmlq8  5.1s  ETA 124 min
16:13:10    [1206/4097] 0_ixmalQrig  2.0s  ETA 124 min
16:13:15    [1207/4097] 1fioenvrmUQ  5.0s  ETA 124 min
16:13:17    [1208/4097] 0BvEqduxKS0  1.8s  ETA 124 min
16:13:19    [1209/4097] 0mAJOcH2T_Q  2.0s  ETA 124 min
16:13:25    [1210/4097] -5MpRM5DfFI  5.4s  ETA 124 min
16:13:27    [1211/4097] -EykObuahN0  1.9s  ETA 124 min
16:13:29    [1212/4097] 0KSq796EsCM  2.2s  ETA 124 min
16:13:30    [1213/4097] 0-I1-DOC-r8  1.6s  ETA 124 min
16:13:36    [1214/4097] 2GnUD9XypV8  5.2s  ETA 124 min
16:13:38    [1215/4097] 2CP8TX5HzeU  2.2s  ETA 124 min
16:13:44    [1216/4097] 2H5hjd6e-24  6.3s  ETA 124 min
16:13:51    [1217/4097] -QVO0p4jbho  7.4s  ETA 124 min
16:13:56    [1218/4097] 0p1f15EtJ0Y  4.5s  ETA 124 min
16:13:57    [1219/4097] 0yc_iBaIIRQ  1.4s  ETA 124 min
16:13:59    [1220/4097] -cFbJ160-hA  1.8s  ETA 124 min
16:14:01    [1221/4097] -4Y0LjkowqY  1.9s  ETA 124 min
16:14:03    [1222/4097] -e-ZVr_GYO4  1.6s  ETA 124 min
16:14:05    [1223/4097] -A3b9tZs-eE  2.4s  ETA 124 min
16:14:07    [1224/4097] -h7I-CCgCbQ  1.4s  ETA 123 min
16:14:12    [1225/4097] 0LRrqxDqL6s  5.3s  ETA 124 min
16:14:19    [1226/4097] 0NDdfOUfupI  6.9s  ETA 124 min
16:14:21    [1227/4097] 0nF7-MpTtGU  2.2s  ETA 124 min
16:14:23    [1228/4097] 2LUiYpPgf74  1.8s  ETA 124 min
16:14:24    [1229/4097] 1Q0La5XzFq4  1.1s  ETA 123 min
16:14:25    [1230/4097] 0DPGYHI0VAY  1.6s  ETA 123 min
16:14:27    [1231/4097] -gtGMV1jQNc  1.6s  ETA 123 min
16:14:28    [1232/4097] -pn6MtEWQKk  1.5s  ETA 123 min
16:14:31    [1233/4097] -BaY2ollfyo  2.1s  ETA 123 min
16:14:32    [1234/4097] -x6okg0mltw  1.2s  ETA 123 min
16:14:33    [1235/4097] -1UKhxopZpk  1.4s  ETA 123 min
16:14:35    [1236/4097] 20heCbODoEQ  1.5s  ETA 123 min
16:14:37    [1237/4097] 0dfquUiWARI  2.4s  ETA 123 min
16:14:39    [1238/4097] -y1Pkp5n1Ak  1.6s  ETA 123 min
16:14:40    [1239/4097] 25G6abiJUc0  1.8s  ETA 123 min
16:14:48    [1240/4097] 0bgXSHa41o4  7.6s  ETA 123 min
16:14:53    [1241/4097] -jHHCTHxDp4  4.8s  ETA 123 min
16:14:55    [1242/4097] -lfNkn9lZt4  1.9s  ETA 123 min
16:14:57    [1243/4097] 18EtDBfPK_I  2.2s  ETA 123 min
16:14:59    [1244/4097] -4TJHvjsYrE  2.2s  ETA 123 min
16:15:04    [1245/4097] -YY2Y0PRp-4  4.8s  ETA 123 min
16:15:06    [1246/4097] 1VAkPqd10bg  1.8s  ETA 123 min
16:15:08    [1247/4097] -7f3Jc2itJ0  2.6s  ETA 123 min
16:15:10    [1248/4097] -oGtiSwccH0  1.6s  ETA 122 min
16:15:16    [1249/4097] 0FoG92UkxIo  6.2s  ETA 123 min
16:15:18    [1250/4097] 1bjJ5yKlNwg  1.8s  ETA 123 min
16:15:19    [1251/4097] -_wBqo5pn7U  1.2s  ETA 122 min
16:15:22    [1252/4097] 2187lj8WdCo  2.3s  ETA 122 min
16:15:23    [1253/4097] -w6CrjqhlfU  1.8s  ETA 122 min
16:15:25    [1254/4097] 1e-wZqDtiAM  2.1s  ETA 122 min
16:15:27    [1255/4097] 0sDQRjQ1fcg  1.6s  ETA 122 min
16:15:30    [1256/4097] -bja0Dc1s7o  3.1s  ETA 122 min
16:15:32    [1257/4097] 0466MKJ7tQk  2.2s  ETA 122 min
16:15:37    [1258/4097] -oXV2Idhvuw  5.0s  ETA 122 min
16:15:44    [1259/4097] 014wEN3qV1E  7.2s  ETA 122 min
16:15:46    [1260/4097] 0BeK2AbDt3M  1.7s  ETA 122 min
16:15:48    [1261/4097] 0yeb4WhFTZY  1.8s  ETA 122 min
16:15:49    [1262/4097] -CXPQTCphQE  1.6s  ETA 122 min
16:15:55    [1263/4097] 2LEvipyAJp0  5.4s  ETA 122 min
16:15:59    [1264/4097] 0N4yv1wNM5Y  4.3s  ETA 122 min
16:16:03    [1265/4097] -uwEUd-C0bQ  3.6s  ETA 122 min
16:16:04    [1266/4097] 1t9dIA0lR-k  1.7s  ETA 122 min
16:16:07    [1267/4097] 1HJCaZaF_TE  2.2s  ETA 122 min
16:16:08    [1268/4097] 0Ptziqr4tBc  1.9s  ETA 122 min
16:16:10    [1269/4097] 0ev7l1nkxQM  1.9s  ETA 122 min
16:16:12    [1270/4097] 1nEyvqO93kc  1.8s  ETA 122 min
16:16:14    [1271/4097] 1OcpIkB_Kio  1.8s  ETA 122 min
16:16:15    [1272/4097] 2JIQ5CHGhn8  1.4s  ETA 122 min
16:16:17    [1273/4097] 0d2eiDp3N5k  1.4s  ETA 121 min
16:16:19    [1274/4097] 23Z4Se9i7g8  2.2s  ETA 121 min
16:16:24    [1275/4097] 1Gy2t9OSfMU  4.7s  ETA 121 min
16:16:27    [1276/4097] 1YAwus2Z5CY  3.0s  ETA 121 min
16:16:29    [1277/4097] 11sQB4lQ-VU  2.0s  ETA 121 min
16:16:30    [1278/4097] -OdAfi6xZWM  1.5s  ETA 121 min
16:16:33    [1279/4097] 0Yk2jwVJCjk  2.7s  ETA 121 min
16:16:35    [1280/4097] -dKiaWqUJf0  2.0s  ETA 121 min
16:16:37    [1281/4097] 03NQmCrlsyY  1.9s  ETA 121 min
16:16:41    [1282/4097] 0IJtUPRU6BY  4.3s  ETA 121 min
16:16:43    [1283/4097] 0biR8Pad0FQ  1.9s  ETA 121 min
16:16:48    [1284/4097] 2GLyeRlmagA  4.5s  ETA 121 min
16:16:52    [1285/4097] 0HbpWijLnhQ  4.8s  ETA 121 min
16:16:54    [1286/4097] 1v4yttojmSI  2.1s  ETA 121 min
16:16:56    [1287/4097] -9X3h2WLxEo  1.5s  ETA 121 min
16:17:43    [1288/4097] 0fsbhgjBvmM  46.9s  ETA 123 min
16:17:45    [1289/4097] -JUE1yeH0FY  1.8s  ETA 122 min
16:17:46    [1290/4097] -nkcTTWWn2g  1.4s  ETA 122 min
16:17:48    [1291/4097] 00rzcEOCB5U  1.6s  ETA 122 min
16:17:49    [1292/4097] 0g5nE-8EevA  1.6s  ETA 122 min
16:17:52    [1293/4097] 1bGlVNcyZTg  3.1s  ETA 122 min
16:17:54    [1294/4097] 0GUI0mNURGk  1.6s  ETA 122 min
16:17:55    [1295/4097] 0McmdH07r7w  1.2s  ETA 122 min
16:17:57    [1296/4097] 0gTirOSN_i4  1.4s  ETA 122 min
16:17:58    [1297/4097] -QMzUFcZM7w  1.0s  ETA 122 min
16:17:59    [1298/4097] 1-MTST2LHvI  1.5s  ETA 122 min
16:18:05    [1299/4097] 0h8HxZaX9wQ  5.4s  ETA 122 min
16:18:09    [1300/4097] 29mjClwVi30  4.2s  ETA 122 min
16:18:11    [1301/4097] 1vu3rEPmUiA  2.8s  ETA 122 min
16:18:13    [1302/4097] 0WO9VM3BLNk  1.3s  ETA 122 min
16:18:14    [1303/4097] 07Pzrop9-6k  1.1s  ETA 122 min
16:18:15    [1304/4097] -mMr3S6543A  1.4s  ETA 122 min
16:18:20    [1305/4097] -lFg_rp6QkA  4.6s  ETA 122 min
16:18:22    [1306/4097] 2Z05Dcg_PlA  1.6s  ETA 121 min
16:18:23    [1307/4097] 1MFXSBjJbtM  1.4s  ETA 121 min
16:18:24    [1308/4097] 1qrOjqPExcA  1.6s  ETA 121 min
16:18:26    [1309/4097] 1IxIvUFJZrw  1.9s  ETA 121 min
16:18:28    [1310/4097] -Ciz5Qz9-xw  1.2s  ETA 121 min
16:18:29    [1311/4097] -k_s7yZFmC4  1.8s  ETA 121 min
16:18:31    [1312/4097] 21zzs1O5WkI  1.8s  ETA 121 min
16:18:32    [1313/4097] -N18nhlehc8  1.4s  ETA 121 min
16:18:34    [1314/4097] 1zTYiYCegfg  1.9s  ETA 121 min
16:18:39    [1315/4097] 1oGivairkgw  4.1s  ETA 121 min
16:18:40    [1316/4097] 2qQ7lCLDnxU  1.4s  ETA 121 min
16:18:41    [1317/4097] 19obIgE_LqM  1.5s  ETA 121 min
16:18:46    [1318/4097] 19SU_fqaZek  4.1s  ETA 121 min
16:18:47    [1319/4097] 0f_iTO5t3hU  1.1s  ETA 121 min
16:18:48    [1320/4097] -r3_dzCQbVw  1.5s  ETA 121 min
16:18:50    [1321/4097] -qKTiVov9NQ  1.7s  ETA 120 min
16:18:51    [1322/4097] 1vOfe_Fb2N8  1.5s  ETA 120 min
16:18:55    [1323/4097] 1JhuwQD0Jsw  4.0s  ETA 120 min
16:18:57    [1324/4097] -qzbB9LVew4  2.0s  ETA 120 min
16:18:59    [1325/4097] -ydzVCB1oNg  1.5s  ETA 120 min
16:19:00    [1326/4097] -V9yRz2lBhU  1.0s  ETA 120 min
16:19:03    [1327/4097] -wwLSHIxjt4  3.6s  ETA 120 min
16:19:05    [1328/4097] 2iInCeXo-7s  1.6s  ETA 120 min
16:19:10    [1329/4097] 12UDDOv3bY8  5.1s  ETA 120 min
16:19:12    [1330/4097] 0-AWASt7xeQ  1.7s  ETA 120 min
16:19:14    [1331/4097] 2NOd2l2d5to  1.8s  ETA 120 min
16:19:18    [1332/4097] 1lkzwa4iSmk  4.7s  ETA 120 min
16:19:20    [1333/4097] -_hc8mN17g4  1.8s  ETA 120 min
16:19:22    [1334/4097] -rTKkq7PvjA  1.7s  ETA 120 min
16:19:24    [1335/4097] 1toyAZ-12KY  2.3s  ETA 120 min
16:19:26    [1336/4097] -1oiBXgssuE  1.5s  ETA 120 min
16:19:28    [1337/4097] 0qMHkYM6ZtI  2.1s  ETA 120 min
16:19:30    [1338/4097] 1L8VgRiLyIc  2.2s  ETA 120 min
16:19:32    [1339/4097] 1iSTc1dg69I  1.8s  ETA 119 min
16:19:35    [1340/4097] 1ce0pV5sgpQ  3.5s  ETA 119 min
16:19:37    [1341/4097] -MKm0TPhKaA  2.1s  ETA 119 min
16:19:44    [1342/4097] 1E3Uqu74Mv4  6.5s  ETA 120 min
16:19:49    [1343/4097] -1qyr-IzqKY  5.7s  ETA 120 min
16:19:52    [1344/4097] 0XGEabNAap4  2.3s  ETA 120 min
16:19:54    [1345/4097] 0NwJfHxeDlI  2.5s  ETA 119 min
16:19:57    [1346/4097] 23Tdr37Ko-U  2.5s  ETA 119 min
16:19:59    [1347/4097] 00xh5DNtdQ4  1.8s  ETA 119 min
16:20:28    [1348/4097] 2jEiD0jmYsA  29.9s  ETA 120 min
16:20:31    [1349/4097] 20TX1N4crxk  3.0s  ETA 120 min
16:20:33    [1350/4097] -2JaPqD9rIY  1.3s  ETA 120 min
16:20:35    [1351/4097] 13mhIKgw118  1.9s  ETA 120 min
16:20:37    [1352/4097] 1LuPtkH4vMg  1.9s  ETA 120 min
16:20:38    [1353/4097] 1ydZZWtDpz0  1.6s  ETA 120 min
16:20:40    [1354/4097] -e5vRcXkOVg  1.9s  ETA 120 min
16:20:42    [1355/4097] 2Y7qqDpdmok  1.5s  ETA 120 min
16:20:44    [1356/4097] 1hZV-4QbK38  2.0s  ETA 120 min
16:20:48    [1357/4097] 0GGGjF6zXfE  4.2s  ETA 120 min
16:20:49    [1358/4097] 2qVuxENcRvw  1.7s  ETA 120 min
16:20:51    [1359/4097] 0imJ78XfnRo  1.5s  ETA 120 min
16:20:53    [1360/4097] -4WY4R15nmM  2.1s  ETA 119 min
16:20:55    [1361/4097] -_kWjEk9hCY  1.7s  ETA 119 min
16:20:57    [1362/4097] 0FzRCRTeyMQ  2.1s  ETA 119 min
16:21:01    [1363/4097] 2hhRZQY2NTE  4.7s  ETA 119 min
16:21:04    [1364/4097] 2gTs8EasBMU  2.2s  ETA 119 min
16:21:11    [1365/4097] 0QqK0U5u2HQ  7.0s  ETA 119 min
16:21:12    [1366/4097] 0YhtMymtVFk  1.4s  ETA 119 min
16:21:14    [1367/4097] 0wCBtMTf_88  1.5s  ETA 119 min
16:21:18    [1368/4097] -SLx_3eTU6k  4.8s  ETA 119 min
16:21:20    [1369/4097] 0RiQLalc7pc  2.0s  ETA 119 min
16:21:22    [1370/4097] -lStxlbxQMo  1.8s  ETA 119 min
16:21:24    [1371/4097] -XvNSVqRNHU  1.8s  ETA 119 min
16:21:27    [1372/4097] -WHymqVONQA  3.5s  ETA 119 min
16:21:29    [1373/4097] -nPu25KmQqE  2.0s  ETA 119 min
16:21:32    [1374/4097] 2BVX5lYZvLQ  3.0s  ETA 119 min
16:21:39    [1375/4097] 07aML2ZU52M  6.7s  ETA 119 min
16:21:41    [1376/4097] 2p9L2wSE6tk  1.7s  ETA 119 min
16:21:47    [1377/4097] 1_xD_7mK7_0  6.2s  ETA 119 min
16:21:49    [1378/4097] 0aOckbqixXs  1.8s  ETA 119 min
16:21:51    [1379/4097] 1mW1stI1nNI  1.7s  ETA 119 min
16:21:53    [1380/4097] -1NiUjILyBE  2.1s  ETA 119 min
